"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2021-12-22T14:31:00.971+09:00"
"RESULT_INF"
"TOTAL_NUMBER","816"
"FROM_NUMBER","1"
"TO_NUMBER","816"
"TABLE_INF","0003412313"
"STAT_NAME","00200524","人口推計"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","人口推計 2019年10月1日現在人口推計"
"TITLE","001","年齢（各歳），男女別人口及び人口性比－総人口，日本人人口"
"CYCLE","-"
"SURVEY_DATE","201910"
"OPEN_DATE","2020-04-14"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","816"
"UPDATED_DATE","2021-06-21"
"STATISTICS_NAME_SPEC","人口推計","2019年10月1日現在人口推計","","","",""
"TITLE_SPEC","","年齢（各歳），男女別人口及び人口性比－総人口，日本人人口","","","",""
"NOTE","***","　"
"NOTE","-","該当数値がないもの　"
"VALUE"
"cat01_code","男女別・性比","cat02_code","人口","cat03_code","年齢各歳","area_code","全国","time_code","時間軸（年月日現在）","unit","value","annotation"
"001","男女計","001","総人口","01000","総数","00000","全国","1201","2019年10月1日現在","千人","126167",""
"001","男女計","001","総人口","01001","0歳","00000","全国","1201","2019年10月1日現在","千人","894",""
"001","男女計","001","総人口","01002","1歳","00000","全国","1201","2019年10月1日現在","千人","941",""
"001","男女計","001","総人口","01003","2歳","00000","全国","1201","2019年10月1日現在","千人","962",""
"001","男女計","001","総人口","01004","3歳","00000","全国","1201","2019年10月1日現在","千人","1001",""
"001","男女計","001","総人口","01005","4歳","00000","全国","1201","2019年10月1日現在","千人","961",""
"001","男女計","001","総人口","01006","5歳","00000","全国","1201","2019年10月1日現在","千人","975",""
"001","男女計","001","総人口","01007","6歳","00000","全国","1201","2019年10月1日現在","千人","1012",""
"001","男女計","001","総人口","01008","7歳","00000","全国","1201","2019年10月1日現在","千人","1018",""
"001","男女計","001","総人口","01009","8歳","00000","全国","1201","2019年10月1日現在","千人","1046",""
"001","男女計","001","総人口","01010","9歳","00000","全国","1201","2019年10月1日現在","千人","1050",""
"001","男女計","001","総人口","01011","10歳","00000","全国","1201","2019年10月1日現在","千人","1061",""
